zona,tipo,id,nombre,direccion,runtime,master,runtime_ancho,runtime_alto,sha256_runtime,sha256_master,anchor
region_verde,mob,orco_bruto,Orco Bruto,down,runtime/orco_bruto/down.webp,masters/orco_bruto/down.webp,96,112,ffce283667ebb3cfe7065498e1c4ebfb8a5176252b0f5e63b66228a57c478f3e,3293b6a0379f8f79f1a7ff44cfe60a51cba958eb54c2df404b59356c28b29839,bottom_center
region_verde,mob,orco_bruto,Orco Bruto,up,runtime/orco_bruto/up.webp,masters/orco_bruto/up.webp,96,112,dc334cd3b528a8ea694333f2d70e5e6bf9fd44d7927b35dda1f47f8bb08b323d,7d77b3a93347017ef8f93a02e27865c3af814bf51fba79c25c91d2f1e46c90e8,bottom_center
region_verde,mob,orco_bruto,Orco Bruto,left,runtime/orco_bruto/left.webp,masters/orco_bruto/left.webp,96,112,07203117dc97d1b215375e3f824ed3264145bccd02e075e51192798772538029,d643f7813a753104715ef224a094dd3ac52888400c41a2a649d51b267c307b6e,bottom_center
region_verde,mob,orco_bruto,Orco Bruto,right,runtime/orco_bruto/right.webp,masters/orco_bruto/right.webp,96,112,fde8e1e4e2635176eb9e951a349afe86c551e601afac9a197c16245d72d03c7d,83f691e93fe8f511ca444fcf0f738d4ea30b23b02cb0f767fdd4ccdbcf5a9d17,bottom_center
region_verde,mob,chaman_orco,Chamán Orco,down,runtime/chaman_orco/down.webp,masters/chaman_orco/down.webp,96,112,5754030ff26afa8e89651c19c0807966bf2c1fbddd9fa5b177f946df833450f8,cfa1071bca4fa31d90aa897f7cbce5a89e7be28eb9d9141a737734460ed3eb1e,bottom_center
region_verde,mob,chaman_orco,Chamán Orco,up,runtime/chaman_orco/up.webp,masters/chaman_orco/up.webp,96,112,484dd5b4f1df39597e9ab34d116939ac24cb6d8f270db9d391033681ed3daa95,96eba07c38d95c90d4bcb70c89cddad170ba0fe2d4b4155366f6b3c657572cfc,bottom_center
region_verde,mob,chaman_orco,Chamán Orco,left,runtime/chaman_orco/left.webp,masters/chaman_orco/left.webp,96,112,1d6b2f6d203d2fa193cb866e4958b98a30d856a4f8d939c7dc06e7f813dceb98,9857c8c75a7e84475ca18f1e2484435b9200943bd39f5f1802bac1150b79e1d8,bottom_center
region_verde,mob,chaman_orco,Chamán Orco,right,runtime/chaman_orco/right.webp,masters/chaman_orco/right.webp,96,112,9a51d34982d7a231cb8ba2dc37a0fd7a23e93863a0f18580217cf99dba3efadd,ce127bb31bbd6301233198abcab9adb65dc977be3511926aa0d8b62195f1bccb,bottom_center
region_verde,mob,asesino_orco,Asesino Orco,down,runtime/asesino_orco/down.webp,masters/asesino_orco/down.webp,96,112,d3e4fc1efb103f65324a3f8f727b9bc62d7f8884f8b0fe15927976bd8e4428d0,40f6ff4cb61b884823456e755a44a29881ef4078472e9c1d72b136dee55934de,bottom_center
region_verde,mob,asesino_orco,Asesino Orco,up,runtime/asesino_orco/up.webp,masters/asesino_orco/up.webp,96,112,8a819fd39b0915eeb1da72a96f71a9feaafa458b3cc0f45be8af5efd68e75d5c,0f80d693035f2b375b91c770b5b6d80bc930f8afa5480d00964ff78e1a085f44,bottom_center
region_verde,mob,asesino_orco,Asesino Orco,left,runtime/asesino_orco/left.webp,masters/asesino_orco/left.webp,96,112,41b1402d34708ca7aee0687dc42ffe5befa317657ba54504ac0d4d327735870a,ef8968a8f4957f3dfe000e79110e29a748c600c5f3870b55c7b2f3f04707c43a,bottom_center
region_verde,mob,asesino_orco,Asesino Orco,right,runtime/asesino_orco/right.webp,masters/asesino_orco/right.webp,96,112,2dbcddd39048a788e66dd1b6a0ec602159c420009b83fc99a83525b83111c955,fab877a19709dcae123d0ec5fb4e8ffe891b983843e20104672b1ce0c55dafb3,bottom_center
region_verde,mob,lobo_salvaje,Lobo Salvaje,down,runtime/lobo_salvaje/down.webp,masters/lobo_salvaje/down.webp,112,80,d69d3579222ce70573ee2695bffbad53a93f62a97cae2a8def537f3ff5582a53,bb38abb1628b56cdbd99c1209d8847f0aad4614a19db14fb59977c02ae19d7bc,bottom_center
region_verde,mob,lobo_salvaje,Lobo Salvaje,up,runtime/lobo_salvaje/up.webp,masters/lobo_salvaje/up.webp,112,80,5e2211dc079ff9d4b174ed839a5af666156c893d0c9e3c3702f3a8581cac9fdf,743473f57403390f07dd125c92033a7816881eac61a6b67e60915a866a3e23d9,bottom_center
region_verde,mob,lobo_salvaje,Lobo Salvaje,left,runtime/lobo_salvaje/left.webp,masters/lobo_salvaje/left.webp,112,80,545657ed0e06f2a9891e73756daaed15adf42b00f9cb575c993a6e808a472795,c558631c94716eff2a3d7c1a3bdeb632cf0e9558b8de70c4b38dc2b57ac43061,bottom_center
region_verde,mob,lobo_salvaje,Lobo Salvaje,right,runtime/lobo_salvaje/right.webp,masters/lobo_salvaje/right.webp,112,80,e209e625aa0b0212c50f191fee20672fcab5e7a574c2e3faddb92f4455beca41,cd4eec33267602ec8c530646f7f91e2f42ea0386965af32d3dfcc178cc83fa23,bottom_center
region_verde,mob,brujo_feral,Brujo Feral,down,runtime/brujo_feral/down.webp,masters/brujo_feral/down.webp,104,120,533de5161e51a580615a4168532092328aa387b0147b62214050d68bca78489b,721bcdab028f4bf10458fa08e58f9218fcdeceb39b23aeb8d65bde1cc4f369bb,bottom_center
region_verde,mob,brujo_feral,Brujo Feral,up,runtime/brujo_feral/up.webp,masters/brujo_feral/up.webp,104,120,dca4ecb9ec4e6571d46a3d1d58404ab60eb51046d062853491157dc1ad4f0ae3,d016abdcfe2f1123ee59af82057450882a8883f2c8654457461afc0ee559fe7d,bottom_center
region_verde,mob,brujo_feral,Brujo Feral,left,runtime/brujo_feral/left.webp,masters/brujo_feral/left.webp,104,120,62ce51641663cb7f093c3549a070bd5c2158c821f3df26570c0c13fe8227444d,72a446cc1d15fb6126ea130e03567d59ea17577c487f8d750b09c4222b323c8e,bottom_center
region_verde,mob,brujo_feral,Brujo Feral,right,runtime/brujo_feral/right.webp,masters/brujo_feral/right.webp,104,120,bd9d4051b72c33517a5d8ad0501f57de3e15160622aaa4e9226620e725955b00,9581aedf8585d2ad133f0786d489145e654aa1b501e2a19d611aa434a704ffc3,bottom_center
region_verde,mob,pantera_sombria,Pantera Sombría,down,runtime/pantera_sombria/down.webp,masters/pantera_sombria/down.webp,112,80,f737a280d9a6b00c9fd71c81d6c236e7e86859167d03224a6e3799f20023d9bb,f3d5835b3f3513e5fcc4b6f218fe86990bf359155ad3d34e6e1ca3a576712fc0,bottom_center
region_verde,mob,pantera_sombria,Pantera Sombría,up,runtime/pantera_sombria/up.webp,masters/pantera_sombria/up.webp,112,80,6861a3c8a5d6cbf479a56c159ac2fb1d749da4168c7c20dc3bb934471e1ac57f,6e46860c2919b357409227cb9521cada4c409e1ec4a89600897fd62d3e464348,bottom_center
region_verde,mob,pantera_sombria,Pantera Sombría,left,runtime/pantera_sombria/left.webp,masters/pantera_sombria/left.webp,112,80,10f6d9cdfe5ee7aaede2c645d9531b67b4b6282283a126f64eb1bc085366a8f4,95c655c7ec9855c7a5e16ccd89c33c159db5a8b83c1163e3e458e676c5a83884,bottom_center
region_verde,mob,pantera_sombria,Pantera Sombría,right,runtime/pantera_sombria/right.webp,masters/pantera_sombria/right.webp,112,80,13b8591b124503635b40b3335cc1614180eb8d6510fbbd03b432dec45a1cd6ec,f2dcb07b0076663a77190f228f589001ac4e60c2ea2e5cb8f939f80fd699aa8d,bottom_center
region_verde,boss,guardian_verde,Guardián Verde,down,runtime/guardian_verde/down.webp,masters/guardian_verde/down.webp,144,160,67b0b195e5db9b833fa5a3d52811465ad74bd280b6d3a0bddf8147d3acb392c2,3fc96827fb4ef557367b3055d943b54474e244cb334f999634d4d67c1da88c3c,bottom_center
region_verde,boss,guardian_verde,Guardián Verde,up,runtime/guardian_verde/up.webp,masters/guardian_verde/up.webp,144,160,ffa833228e641840738b6d785169401fb54c628eb1633c21f6dc9e501dee57d9,3e2130553d79abff8ec885700c7abb0672965db1f20f74166529b60a6747527c,bottom_center
region_verde,boss,guardian_verde,Guardián Verde,left,runtime/guardian_verde/left.webp,masters/guardian_verde/left.webp,144,160,59821d1211a7eaf91c73e4390428c606d4dd711c2f61289ff4a3ecbc765c8770,34f38d38832afa963b10a33388ea3e3527de86cd216346e2c099031f40362863,bottom_center
region_verde,boss,guardian_verde,Guardián Verde,right,runtime/guardian_verde/right.webp,masters/guardian_verde/right.webp,144,160,6ffbb39a882472484d348f57114f20f3d8d62a8db7ca3c34650d174b141e8928,8446a4e0fea794af6a1cca89a3515e62e89523b8cf8550036482cf382c3f95f2,bottom_center
region_artica,mob,guerrero_esqueletico,Guerrero Esquelético,down,runtime/guerrero_esqueletico/down.webp,masters/guerrero_esqueletico/down.webp,88,104,de50d4980f7fcc046f9996b3cc3940dcc06b2ee0b172fe599bc37a25cc9a314a,a11ee1b20b4e2d15224b86d6456aabf0401decbe6156355c7e74943a70ee34c7,bottom_center
region_artica,mob,guerrero_esqueletico,Guerrero Esquelético,up,runtime/guerrero_esqueletico/up.webp,masters/guerrero_esqueletico/up.webp,88,104,746e569a83a77198b61683699abe60bd0c370442e791326f49e898df014bcd62,4775b753b792f4e439578aacda085582afb05da082795da1e3e2a135682f78a4,bottom_center
region_artica,mob,guerrero_esqueletico,Guerrero Esquelético,left,runtime/guerrero_esqueletico/left.webp,masters/guerrero_esqueletico/left.webp,88,104,e509e5d4d3df5e6655f0a6f13917a27c22b2aab79ff6a38773bd09b3f70f7b69,4d3d853a63eea15b7f34753abae8315bef52472a38c32333053ebb41aa501969,bottom_center
region_artica,mob,guerrero_esqueletico,Guerrero Esquelético,right,runtime/guerrero_esqueletico/right.webp,masters/guerrero_esqueletico/right.webp,88,104,2cb3af63c8011f6894e7622f8d8b44d4caa87bad2dea0ee5f442d5b61151d412,2ad4aaa13a34c54ab73a602e7b1010f4416eb554b914ac7873cc6cb99a88ce37,bottom_center
region_artica,mob,necromante,Necromante,down,runtime/necromante/down.webp,masters/necromante/down.webp,88,104,d134f3ec3a428cefb4293c1872facc35892715766da15eff096f53f27fa2eadf,92843458f60082669859a8c223d07ac412a30065f0fea15c1b4c48b3559128c5,bottom_center
region_artica,mob,necromante,Necromante,up,runtime/necromante/up.webp,masters/necromante/up.webp,88,104,7251e6f4c68aafc1a6c406bcafcc3623fd6cd893cac90c2b2f77791969f288af,8b16325433458593efc7ee8fb5d028aef8296d3f314a2a494445586faee33362,bottom_center
