zona,npc_id,nombre,direccion,master,runtime,sha256_runtime
campamento_umbral,capitan_roland,Capitán Roland,down,01_CAMPAMENTO_UMBRAL/capitan_roland/masters_transparentes/idle_down.webp,01_CAMPAMENTO_UMBRAL/capitan_roland/runtime/idle_down.webp,77f1eaabc664e6a83a4ce9e2fe95d370b02f0493717cb32979f59703cb1a33a8
campamento_umbral,capitan_roland,Capitán Roland,up,01_CAMPAMENTO_UMBRAL/capitan_roland/masters_transparentes/idle_up.webp,01_CAMPAMENTO_UMBRAL/capitan_roland/runtime/idle_up.webp,0c95a6c924f2d7fc5bc6cca30e1d996d00def6d64cd053f3783dd8f9102d24f8
campamento_umbral,capitan_roland,Capitán Roland,left,01_CAMPAMENTO_UMBRAL/capitan_roland/masters_transparentes/idle_left.webp,01_CAMPAMENTO_UMBRAL/capitan_roland/runtime/idle_left.webp,1c78e5f70d74ae8d58c15b3d2d9a28e118667f9b6d107cca709fc72d1fe05203
campamento_umbral,capitan_roland,Capitán Roland,right,01_CAMPAMENTO_UMBRAL/capitan_roland/masters_transparentes/idle_right.webp,01_CAMPAMENTO_UMBRAL/capitan_roland/runtime/idle_right.webp,75a7531d7def843d93a6951e2dc9c0b94bfa8a904e95a3a8f31efcc6c99a0370
campamento_umbral,bren,Bren,down,01_CAMPAMENTO_UMBRAL/bren/masters_transparentes/idle_down.webp,01_CAMPAMENTO_UMBRAL/bren/runtime/idle_down.webp,694b53634f200f77868d6094e36b5245e271e06a1af3a4a419d3127c92df8ad1
campamento_umbral,bren,Bren,up,01_CAMPAMENTO_UMBRAL/bren/masters_transparentes/idle_up.webp,01_CAMPAMENTO_UMBRAL/bren/runtime/idle_up.webp,7bbfb8e07d136d089233531228408c7b4d0486b1053504e9f219cd0939d8731c
campamento_umbral,bren,Bren,left,01_CAMPAMENTO_UMBRAL/bren/masters_transparentes/idle_left.webp,01_CAMPAMENTO_UMBRAL/bren/runtime/idle_left.webp,e63fa7c07db723d38f8946f16b6bc2cbb1f482f87f5d2cd6823ea77c7fb19a9e
campamento_umbral,bren,Bren,right,01_CAMPAMENTO_UMBRAL/bren/masters_transparentes/idle_right.webp,01_CAMPAMENTO_UMBRAL/bren/runtime/idle_right.webp,1d2b96144e3914bd5f829b2b7a8936a695e8f64e91a26e5e4e9d43df738b6b8e
campamento_umbral,elia,Elia,down,01_CAMPAMENTO_UMBRAL/elia/masters_transparentes/idle_down.webp,01_CAMPAMENTO_UMBRAL/elia/runtime/idle_down.webp,35770134c18bd40538a5c8f99d4d204129db4a96fb9f674b72ed39588c42f2d2
campamento_umbral,elia,Elia,up,01_CAMPAMENTO_UMBRAL/elia/masters_transparentes/idle_up.webp,01_CAMPAMENTO_UMBRAL/elia/runtime/idle_up.webp,dbae7d1c3319ff95a6f70caa96dfa7f980950fb1f77909cc122ea40e0057770e
